JobNo,JobDate,BillNo,BillDate,Shipping Bill No/BOE NO,Shipper,Consignee,DESTINATION,COUNTRY,InvNo_Dt,SB/BE NO,SB/BE Date,HAWBNO,HAWB_DATE,MAWBNO,MAWB_DATE,Flight No,Flight Date,No of Pkg,Net wt,Net Wt UOM,GROSS_WEIGHT,GROSS_WEIGHTUNIT,Value in Us$,Value in INR,Agency,REIMBURS,TaxTotal,Total,TaxableValue,IGSTAMOUNT,AGENT,DESCRIPTION
KI004033            ,8/27/2022,2723BKCIMP034775,9/3/2022,2197523-27.08.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,2197523-27.08.2022,8/27/2022,1101-4858521,8/27/2022,724 26026232,8/27/2022,,8/29/2022,1,13.68,CTM       ,0.2,KG  ,14656.48,1179847,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI004188            ,9/3/2022,2723BKCIMP036209,9/12/2022,2286917-03.09.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,2286917-03.09.2022,9/2/2022,3405-0443972,9/2/2022,176 54059095,9/2/2022,,9/4/2022,1,4.23,CTM       ,0.2,KG  ,10526.36,846846,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI004395            ,9/10/2022,2723BKCIMP037891,9/17/2022,2387489-10.09.22,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,2387489-10.09.22,9/10/2022,1101-4878067,9/9/2022,724 26348486,9/9/2022,LX 154,9/11/2022,1,23.32,CTM       ,0.2,KG  ,43469.67,3497135,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI004421            ,9/13/2022,2723BKCIMP038177,9/19/2022,2423610-13.09.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,2423610-13.09.2022,9/13/2022,7883451,9/12/2022,125 96902713,9/12/2022,,9/14/2022,1,10.39,CTM       ,0.2,KG  ,12813.92,1030880,5050,0,909,5959,,,MAL   ,ROUGH SYNTHETIC STONE
KI004551            ,9/17/2022,2723BKCIMP040277,9/27/2022,2492188-17.09.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,2492188-17.09.2022,9/16/2022,3405-0444866,9/15/2022,176 53202962,9/15/2022,,9/17/2022,1,4.78,CTM       ,0.2,KG  ,8651.8,695605,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI004765            ,9/24/2022,2723BKCIMP041911,10/1/2022,2600141-24.09.22,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,2600141-24.09.22,9/24/2022,1101-4904902,9/24/2022,724 26349971,9/24/2022,,9/26/2022,1,16.41,CTM       ,0.2,KG  ,27148.57,2182745,5550,0,999,6549,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI004832            ,9/27/2022,2723BKCIMP042178,10/4/2022,2633178-27.09.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,2633178-27.09.2022,9/27/2022,7883671,9/27/2022,125 96902875,9/27/2022,,9/29/2022,1,22.98,CTM       ,0.2,KG  ,59118.71,5518732,5050,0,909,5959,,,MAL   ,ROUGH SYNTHETIC STONE
KI004500            ,9/15/2022,2723BKCIMP042674,10/7/2022,2457143-15.09.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,2457143-15.09.2022,9/15/2022,1101-4885959,9/15/2022,724 26349046,9/15/2022,,9/17/2022,1,15.57,CTM       ,0.77,KG  ,20821.9,1674081,2550,0,459,3009,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI004500            ,9/15/2022,2723BKCIMP042679,10/7/2022,2457143-15.09.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,2457143-15.09.2022,9/15/2022,1101-4885959,9/15/2022,724 26349046,9/15/2022,,9/17/2022,1,15.57,CTM       ,0.77,KG  ,20821.9,1674081,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI004971            ,10/1/2022,2723BKCIMP043780,10/12/2022,2721509-03.10.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,2721509-03.10.2022,9/30/2022,3405-0445885,9/30/2022,176 54090595,9/30/2022,,10/2/2022,1,5.92,CTM       ,0.2,KG  ,3331.92,267886,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI005228            ,10/8/2022,2723BKCIMP044883,10/17/2022,2795815-08.10.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,2795815-08.10.2022,10/8/2022,1101-4925585,10/6/2022,724 26442636,10/8/2022,,10/10/2022,1,28.72,CTM       ,0.2,KG  ,33115.64,2730385,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI005257            ,10/11/2022,2723BKCIMP045416,10/18/2022,2823423-11-10-22,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,2823423-11-10-22,10/11/2022,3405-0446398,10/6/2022,176 54220036,10/6/2022,,10/8/2022,1,4.06,CTM       ,0.2,KG  ,13407.6,1105457,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI005428            ,10/15/2022,2723BKCIMP047040,10/22/2022,2903264-15.10.22,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,2903264-15.10.22,10/15/2022,7883984,10/14/2022,125 96903133,10/14/2022,BA 139,10/16/2022,1,23,CTM       ,0.2,KG  ,22740.26,2145544,5050,0,909,5959,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI005468            ,10/18/2022,2723BKCIMP047176,10/22/2022,2936200-18.10.22,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,2936200-18.10.22,10/18/2022,3405-0446810,10/17/2022,176 54270694,10/17/2022,EK 504,10/19/2022,1,9.3,CTM       ,0.2,KG  ,13900.56,1146101,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI005596            ,10/29/2022,2723BKCIMP049787,11/9/2022,3087213,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,3087213,10/29/2022,1101-4964296,10/28/2022,724 26548782,10/28/2022,,10/30/2022,1,0,CTM       ,0.2,KG  ,68545.69,5750983,5550,0,999,6549,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI005615            ,11/1/2022,2723BKCIMP050609,11/15/2022,3125240-02.11.22,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,3125240-02.11.22,10/31/2022,3405-0447569,10/30/2022,176 54765675,10/30/2022,,11/1/2022,1,3.04,CTM       ,0.2,KG  ,3459.36,290240,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI005862            ,11/9/2022,2723BKCIMP051011,11/17/2022,3233268-09.11.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,3233268-09.11.2022,11/9/2022,1101-4980130,11/7/2022,724 26548756,11/8/2022,LX 154,11/10/2022,1,43.78,CTM       ,0.2,KG  ,49273.95,4129157,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI006014            ,11/15/2022,2723BKCIMP051967,11/21/2022,3317987-15.11.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,3317987-15.11.2022,11/15/2022,7884423,11/14/2022,125 96903612,11/14/2022,BA 139,11/16/2022,1,16.31,CTM       ,0.2,KG  ,14553.53,1401505,5050,0,909,5959,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI005970            ,11/12/2022,2723BKCIMP053463,11/26/2022,3287115-13.11.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,3287115-13.11.2022,11/12/2022,1101-4989402,11/12/2022,724 26549950,11/12/2022,,11/14/2022,1,13.5,CTM       ,0.2,KG  ,13113.7,1098928,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI006220            ,11/22/2022,2723BKCIMP054122,11/29/2022,3425065-23.11.22,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,3425065-23.11.22,11/22/2022,3405-0448881,11/21/2022,176 54818945,11/21/2022,,11/23/2022,1,9.68,CTM       ,0.2,KG  ,18823.59,1554829,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI006063            ,11/16/2022,2723BKCIMP054138,11/29/2022,3345481-17.11.22,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,3345481-17.11.22,11/16/2022,3405-0448531,11/15/2022,176 54766110,11/15/2022,,11/17/2022,1,4.28,CTM       ,0.2,KG  ,2946.55,246921,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI006455            ,12/1/2022,2723BKCIMP056457,12/9/2022,3564887-02.12.22,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,3564887-02.12.22,12/1/2022,7884737,11/30/2022,125 53232141,11/30/2022,,12/2/2022,1,12.56,CTM       ,0.2,KG  ,20248.92,1999581,5550,0,999,6549,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI006425            ,12/1/2022,2723BKCIMP056459,12/9/2022,3565671-02.12.22,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,3565671-02.12.22,12/1/2022,3405-0449439,12/1/2022,176 54819203,12/1/2022,,12/3/2022,1,3.01,CTM       ,0.2,KG  ,3345.92,276373,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI006458            ,12/2/2022,2723BKCIMP056463,12/9/2022,3586673-03.12.2022,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,3586673-03.12.2022,12/2/2022,1101-5020144,12/1/2022,724 26622260,12/1/2022,LX 154,12/3/2022,1,22.82,CTM       ,0.2,KG  ,33651.95,2759460,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
