#,Customer/Vendor Code,Customer/Vendor Name,Export/Import,PD/CHA,BP Reference No.,Posting Date,Due Date,Document Date,Internal Number,Document Number,E/IR,ER/IR No,Membership Number,Previous Receipt No,Shipper Address,Tracking Number,Order Number,Pay to,NoP,Gross Comm. UOM,Gross Wt,U_NWeight,Net Comm. UOM,IEC No,PD Account,MAWB No,HAWB No,Shipment Type,Document Total,Document Currency,ExporterCode,ExporterName,CHA No,CHB Nm-PD,CHB Cd-PD,Item/Service Description,Row Total,AddSerChrg,Weight,Value,Commodity,NetWt,Total Tax,Rounding Diff. Amount,Taxable Amt,Control Account,CGST Amt @ 9%,SGST Amt @ 9%,IGST Amt @ 18%,SacCode,Irn Number,Receipt No,Cheque No
43952,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,17/07/2023,16/08/2023,17/07/2023,3262295,302063,ER No,6708,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2501158,R1-JE9010B,6,Kgs,15.44,,CARAT,AAQFN4016M,PD-0579,72471143774,99013758801,NORMAL,1546,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1310,0,0,18572992.12,CUT AND POLISHED DIAMOND,503.790000 CARAT,235.8,0.2,1310,1040201014,117.9,117.9,0,996719,186f005e0fa343a109a492b4a7ecae8916dcdd990c07dab29b253e4d95dbff0d,254396,
43991,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,12/05/2023,11/06/2023,12/05/2023,3000898,270725,ER No,5470,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9973447,R1-JE9010B,1,Kgs,0.8,,CARAT,AAQFN4016M,PD-0579,02345064353,IPS/K001289,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,157287.92,CUT AND POLISHED DIAMOND,16.490000 CARAT,198,0,1100,1040201014,99,99,0,996719,44be79477e78af3f5c8e76d1a062c0f90b9941d5e67946627e1284707dd5c746,252793,
44013,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,07/08/2023,06/09/2023,07/08/2023,3364274,311841,ER No,2396,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2983975,R1-JE9010B,1,Kgs,1.44,,"CARAT,CARAT",AAQFN4016M,PD-0579,02346740046,3943,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1241849.58,"CUT AND POLISHED DIAMOND,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS","50.420000 CARAT,CARAT",135,0,750,1040201014,67.5,67.5,0,996719,9f673709b97627ed7c0f06c25fee8dc6c3f96a56147c0eb7d5eb7930aecd8d51,254541,
44018,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,27/05/2023,26/06/2023,27/05/2023,3059764,278349,ER No,14057,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1325380,R1-JE9010B,1,Kgs,2.7,,CARAT,AAQFN4016M,PD-0579,17686482664,99013750113,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1869997.77,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS,87.760000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,128fef24c1466fa6b3b583817e5124f4aadc2f5699d061d0c1ee3a79655902e5,252793,
44272,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,25/05/2023,24/06/2023,25/05/2023,3044809,277185,ER No,13059,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1275272,R1-JE9010B,1,Kgs,1.08,,CARAT,AAQFN4016M,PD-0579,16055929949,9662,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,836004.12,CUT AND POLISHED DIAMOND,28.150000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,83cd00207de6fa78987145c5535dad7887848b061a3a2e5989d99269439943b6,252793,
44281,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,26/07/2023,25/08/2023,26/07/2023,3295329,306588,ER No,10421,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2725414,R1-JE9010B,1,Kgs,0.55,,CARAT,AAQFN4016M,PD-0579,16058729506,99013760536,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,358662.84,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS,11.500000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,907c6f1543a258392c2af3fd8f8f7a9a9be091536a1f6124ec2be91da5c773e2,254396,
44298,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,30/08/2023,29/09/2023,30/08/2023,3486564,323432,ER No,12633,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,3572872,R1-JE9010B,2,Kgs,4.29,,"CARAT,CARAT",AAQFN4016M,PD-0579,12556025325,6778,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,4652493.42,"CUT AND POLISHED DIAMOND,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS","150.280000 CARAT,CARAT",142.2,-0.2,790,1040201014,71.1,71.1,0,996719,d593f5df1c32c6adc0dc23dc17c41a490025ff1f30a220929e40ffec91c85461,,
44402,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,18/08/2023,17/09/2023,18/08/2023,3396425,317238,IR No,304036,M5112,,"CC2150,""BANDRA KURLA COMPLEX, BANDRA EAST"",,Mumbai-400051 Maharashtra India",,7314959,R1-JE9010B,1,Kgs,0.9,,CARAT,AAQFN4016M,PD-0579,72472094746,11015450484,RE-IMPORT,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,3503497,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS,52.110000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,769d2f0f7079c575fb3ac55e799b8c8a5bdb831fa19547c58fc3b7775ef8cb39,,
44445,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,01/07/2023,31/07/2023,01/07/2023,3201489,294621,ER No,129,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2142657,R1-JE9010B,1,Kgs,0.9,,CARAT,AAQFN4016M,PD-0579,02346256630,2876,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,34254.78,CUT & POLISHED  PRECIOUS STONES EMERALD OVAL & PEAR,5.250000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,192d1d14bf76ecfe77580feb4986c9582145f51564cec53513a98051c46b5f63,253685,
44469,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,16/06/2023,16/07/2023,16/06/2023,3108734,287256,ER No,6148,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1789172,R1-JE9010B,1,Kgs,1.17,,CARAT,AAQFN4016M,PD-0579,16055931142,3421,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,838003.43,CUT AND POLISHED DIAMOND,28.160000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,dbe51dc6b2c974901d5bbce74807dd6a1be8305fe1c89641cef464a0852b453b,252795,
44720,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,11/07/2023,10/08/2023,11/07/2023,3248716,299188,ER No,4060,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2366049,R1-JE9010B,2,Kgs,6.17,,CARAT,AAQFN4016M,PD-0579,12554762050,99013757814,NORMAL,944,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,800,0,0,4535000.01,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS,134.010000 CARAT,144,0,800,1040201014,72,72,0,996719,87de5cbbe3b5e3f0e4d8a4fcfec3dcb5961816d3789849829b426b041cd5f950,253685,
44985,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,07/07/2023,06/08/2023,07/07/2023,3236532,297881,ER No,3005,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2292937,R1-JE9010B,1,Kgs,2.9,,"CARAT,CARAT",AAQFN4016M,PD-0579,02346256733,3063,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,1871365.97,"CUT AND POLISHED DIAMOND,LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS","105.440000 CARAT,CARAT",135,0,750,1040201014,67.5,67.5,0,996719,ad84ae4fb6e6d7c62f8c1370e3e8eb8504a428bd4092e6d1330e44f44bd0cc28,253685,
45118,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,21/04/2023,21/05/2023,21/04/2023,2875271,260154,ER No,8749,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,9453097,R1-JE9010B,3,Kgs,6.6,,CARAT,AAQFN4016M,PD-0579,72470263863,99013743063,NORMAL,1392,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1180,0,0,6587999.24,CUT AND POLISHED DIAMOND,117.960000 CARAT,212.4,-0.4,1180,1040201014,106.2,106.2,0,996719,8ebd1432f1a03431c3f6528bcd2b857b15478cdc48d5a7fa556a3b28cfec1aac,251198,
45119,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,09/05/2023,08/06/2023,09/05/2023,2997400,268826,IR No,297524,M5112,,"CC6055,BHARAT DIAMOND BOURSE , 6TH FLOOR BANDRA KURLA COMPLEX Cont , BANDRA EAST,,MUMBAI-400051 Maharashtra India",,5830016,R1-JE9010B,1,Kgs,0.43,,"CARAT,CARAT",AAQFN4016M,PD-0579,72471010170,11015302663,RE-IMPORT,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,2373544,"LAB GROWN NON INDUSTRIAL POLISHED DIAMONDS,CUT AND POLISHED DIAMOND","78.360000 CARAT,CARAT",198,0,1100,1040201014,99,99,0,996719,df20d467928614bd5b51cd3f5d295e9ad74c3fc95caf68924d6381dd06c23d29,251687,
