,NIVODA LLP,,01/04/2023  TO 30/09/2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Out MAWB,Execution Date,HAWB #,PU Date,SHIPPER NAME,CONSIGNEE NAME,City,Dest. Site Country,Commodity, Customs Value $ USD,GRS WT,Air Frt Chrgs,Hawb Fees,Wt. Chg.,Val. Chg. ,CDC Charges,Handling charges,ACC Charges,EU /ETC CHANGES AIRLINE,Security Surcharges,Val Charges,Add Valuation,ASI Charges,Ser. Tax,Total Revenue INR
80,125 5380 8506,04/05/23,99013745461,04/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$142,246",10.14 KG,"4,400.00",,"14,250.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,"1,162.28",285.00,"5,197.58",34072.86
81,176 5887 5972,06/05/23,99013745779,06/05/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Cut and Polished Diamonds,"$6,742",0.36 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,54.97,285.00,"1,122.83",7360.8
82,176 5887 5972,06/05/23,99013745815,06/05/23,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$8,546",0.40 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,69.74,285.00,"1,125.49",7378.23
83,160 5592 8762,08/05/23,99013746050,06/05/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$5,993",0.63 KG,"2,700.00",,,8.00,,,270.00,,200.00,500.00,49.23,285.00,722.20,4734.43
84,125 5380 8510,08/05/23,99013745995,06/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$151,825",12.33 KG,"4,400.00",,"17,250.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,"1,245.41",285.00,"5,752.51",37710.92
85,724 7026 7433,08/05/23,99013745968,06/05/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$379,318",19.36 KG,"3,200.00",,"33,300.00",8.00,,,270.00,900.00,200.00,500.00,"3,111.89",285.00,"7,519.48",49294.37
87,125 5380 8510,08/05/23,99013746155,08/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$103,907",3.42 KG,"4,400.00",,"3,750.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,852.42,285.00,"3,251.77",21317.19
88,125 5380 8510,08/05/23,99013746184,08/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Cut and Polished Diamonds,"$53,100",1.13 KG,"4,400.00",,750.00,8.00,,"7,000.00",270.00,800.00,200.00,500.00,435.65,285.00,"2,636.76",17285.41
89,724 7026 7433,08/05/23,99013746163,08/05/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$58,046",4.42 KG,"3,200.00",,"6,300.00",8.00,,,270.00,900.00,200.00,500.00,475.85,285.00,"2,184.99",14323.84
90,160 5592 8832,09/05/23,99013746439,09/05/23,NIVODA LLP,NIVODA HK LIMITED,HONG KONG,HONG KONG,Lab Grown Diamonds,"$30,291",0.69 KG,"2,700.00",,,8.00,,,270.00,,200.00,500.00,248.59,285.00,758.09,4969.68
91,125 5380 8521,09/05/23,99013746380,09/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$84,218",5.00 KG,"4,400.00",,"6,000.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,690.80,285.00,"3,627.68",23781.48
92,724 7027 4890,09/05/23,99013746376,09/05/23,NIVODA LLP,NIVODA USA LLC ,NEW YORK,UNITED STATES,Lab Grown Diamonds,"$132,841",5.75 KG,"3,200.00",,"9,000.00",8.00,,,270.00,900.00,200.00,500.00,"1,089.53",285.00,"2,781.46",18233.99
93,176 8648 2266,11/05/23,99013746724,10/05/23,NIVODA LLP,NIVODA DMCC,DUBAI,UNITED ARAB EMIRATES,Lab Grown Diamonds,"$1,474",0.34 KG,"4,200.00",,,8.00,,,270.00,720.00,200.00,500.00,12.31,285.00,"1,115.16",7310.47
94,125 5380 8646,10/05/23,99013746615,10/05/23,NIVODA LLP,NIVODA LIMITED,LONDON,UNITED KINGDOM,Lab Grown Diamonds,"$78,002",4.86 KG,"4,400.00",,"6,000.00",8.00,,"7,000.00",270.00,800.00,200.00,500.00,639.94,285.00,"3,618.52",23721.46
