,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NIVODA LLP  - 01/01/2022   TO  30/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Out MAWB,Execution Date,HAWB #,PU Date,SHIPPER NAME,CONSIGNEE NAME,Dest. Site Code,Dest. Site Country,Service Type, Customs Value $ USD,GRS WT,PKG.,Air Frt Chrgs,Hawb Fees,EU Chg.,Wt. Chg.,Val. Chg. ,CDC Charges,Handling charges,Ser. Tax,ACC Charges,Ground support charge,ETC CHANGES AIRLINE,Security Surcharges,Val Charges,Add Valuation,ASI Charges,Total Revenue INR,Frt. Collect in $”,
37,125 9579 0995,05/02/22,99013651868,05/02/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$69,191",4.53 KG,2,5800,,800,6000,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 517.74 , 285.00 ,24380.74,,
38,176 3352 6021,05/02/22,99013651870,05/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$237,609",5.48 KG,3,4600,,,8100,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 ," 1,777.68 ", 285.00 ,16460.68,,
39,724 2112 2824,07/02/22,99013651886,05/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$20,629",1.50 KG,1,4600,,900,900,8,,,, 270.00 ,,, 200.00 , 500.00 , 154.13 , 285.00 ,7817.13,,
40,125 9579 1006,07/02/22,99013651981,07/02/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$81,004",4.25 KG,2,5800,,800,5250,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 606.02 , 285.00 ,23719.02,,
41,724 2112 2824,07/02/22,99013651952,07/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$30,720",1.44 KG,1,4600,,900,900,8,,,, 270.00 ,,, 200.00 , 500.00 , 229.69 , 285.00 ,7892.69,,
42,724 2112 5591,09/02/22,99013652110,08/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$75,939",2.75 KG,1,4600,,900,3600,8,,,, 270.00 ,,, 200.00 , 500.00 , 567.87 , 285.00 ,10930.87,,
43,125 9579 1010,09/02/22,99013652463,09/02/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$88,793",5.56 KG,3,5800,,800,7500,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 664.38 , 285.00 ,26027.38,,
44,160 6881 0361,11/02/22,99013652931,10/02/22,NIVODA LLP,NIVODA HK LIMITED,3405,HONG KONG,BDB STRONG ROOM TO DOOR,"$25,652",0.90 KG,1,4100,,,,8,,,, 270.00 ,,, 200.00 , 500.00 , 192.97 , 285.00 ,5555.97,,
45,125 9579 1032,11/02/22,99013652897,10/02/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$49,667",0.21 KG,1,5800,,800,,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 373.18 , 285.00 ,18236.18,,
46,724 2112 5602,11/02/22,99013652693,10/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$58,579",1.57 KG,1,4600,,900,1800,8,,,, 270.00 ,,, 200.00 , 500.00 , 440.01 , 285.00 ,9003.01,,
