#,Customer/Vendor Code,Customer/Vendor Name,Export/Import,PD/CHA,BP Reference No.,Posting Date,Due Date,Document Date,Internal Number,Document Number,E/IR,ER/IR No,Membership Number,Previous Receipt No,Shipper Address,Tracking Number,Order Number,Pay to,NoP,Gross Comm. UOM,Gross Wt,U_NWeight,Net Comm. UOM,IEC No,PD Account,MAWB No,HAWB No,Shipment Type,Document Total,Document Currency,ExporterCode,ExporterName,CHA No,CHB Nm-PD,CHB Cd-PD,Item/Service Description,Row Total,AddSerChrg,Weight,Value,Commodity,NetWt,Total Tax,Rounding Diff. Amount,Taxable Amt,Control Account,CGST Amt @ 9%,SGST Amt @ 9%,IGST Amt @ 18%,SacCode,Irn Number,Receipt No,Cheque No
36021,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,27/02/2023,29/03/2023,27/02/2023,2631993,424907,ER No,13710,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8085256,R1-JE9010B,1,Kgs,0.4,,CARAT,AAQFN4016M,PD-0579,16052845656,2447,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,161001.48,CUT AND POLISHED DIAMOND,5.120000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,c9802612022cf98baeee0ae5b4c827fa60c9fff80ee1ed437f86ab72417e4053,260020,
36483,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,21/05/2022,20/06/2022,20/05/2022,920601,276511,ER No,9495,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1520006,R1-C04516,4,Kgs,8.95,,CARAT,AAQFN4016M,PD-0579,72424681930,3525,CONSIGNMENT,1676,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1420,0,0,12929010.16,CUT AND POLISHED DIAMOND,152.070000 CARAT,255.6,0.4,1420,1040201014,127.8,127.8,0,996719,c1ef59859b58287fe6b79b51efddbe8da063c359662fc12f8835ecd9c76aa037,251949,
36533,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,26/11/2022,26/12/2022,26/11/2022,1927470,377890,ER No,11207,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5735057,R1-JE9010B,2,Kgs,3.75,,CARAT,AAQFN4016M,PD-0579,02342705073,IPS/K005846,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,3356360.38,CUT AND POLISHED DIAMOND,41.830000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,911107d10b65eef8086c354a5b584374a49663d0ca4ecc9769a66151ae86b1a2,257690,
36543,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,27/07/2022,26/08/2022,27/07/2022,1138126,314028,ER No,12463,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,3096632,R1-C04516,1,Kgs,0.75,,CARAT,AAQFN4016M,PD-0579,51405828561,2632,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,10401.33,LAB. GROWN CPD,1.050000 CARAT,198,0,1100,1040201014,99,99,0,996719,b69b5644241240c2414be95aa8e82f7e4ca09b0d1b1039d5145ce46101adaff2,254240,
36641,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,04/01/2023,03/02/2023,04/01/2023,2218350,396212,ER No,923,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,6684784,R1-JE9010B,1,Kgs,1.27,,CARAT,AAQFN4016M,PD-0579,02343050604,IPS/K006954,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,547319.31,LAB. GROWN CPD,15.370000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,dc4a52f73ff193014e75e256e7ff3013444bde0c945596cf937449879e16fdb5,258615,
36696,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,10/03/2023,09/04/2023,10/03/2023,2655710,430692,IR No,293181,M5112,,"CC6055,BHARAT DIAMOND BOURSE , 6TH FLOOR BANDRA KURLA COMPLEX Cont , BANDRA EAST,,MUMBAI-400051 Maharashtra India",,4913874,R1-JE9010B,1,Kgs,0.6,,CARAT,AAQFN4016M,PD-0579,17654181562,34050455547,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,349484,LAB. GROWN CPD,7.500000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,fa4063a43f58714362d665285e456fbf875e3009c171637696eb31f8d27afa59,250421,
36756,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,02/09/2022,02/10/2022,02/09/2022,1291790,333214,ER No,973,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,3919109,R1-C04516,1,Kgs,1.09,,CARAT,AAQFN4016M,PD-0579,51405876393,3373,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,363428.31,CUT AND POLISHED DIAMOND,9.980000 CARAT,198,0,1100,1040201014,99,99,0,996719,9ca5ff76b09881d3566fcbe4747671c2d3eb29fb19bc28e9cebd0ff892c255bc,255616,
36759,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,13/05/2022,12/06/2022,13/05/2022,910526,272701,ER No,5849,M5112,,"NA,BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1352413,R1-C04516,1,Kgs,0.94,,CARAT,AAQFN4016M,PD-0579,61850279994,99013671974,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,1572003.69,CUT AND POLISHED DIAMOND,20.690000 CARAT,198,0,1100,1040201014,99,99,0,996719,a42275fdbff8bc3b49ed8398598daec4fc1717907d7f2185adfe377d9c3e06fb,251630,
36923,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,01/03/2023,31/03/2023,01/03/2023,2633646,426343,ER No,280,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8156365,R1-JE9010B,2,Kgs,5.78,,CARAT,AAQFN4016M,PD-0579,12552494492,3068,NORMAL,1074,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,910,0,0,9131002.81,LAB. GROWN CPD,137.990000 CARAT,163.8,0.2,910,1040201014,81.9,81.9,0,996719,4a43d1f8273c4aa2188600a7642f288846966adc216b022b20fbdcee015f1557,260393,
36948,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,28/04/2022,28/05/2022,28/04/2022,891022,264268,ER No,12583,M5112,,"NA,BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1022936,R1-C04516,2,Kgs,3.87,,CARAT,AAQFN4016M,PD-0579,72421156586,99013668704,NORMAL,1392,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1180,0,0,5275004.51,CUT AND POLISHED DIAMOND,72.450000 CARAT,212.4,-0.4,1180,1040201014,106.2,106.2,0,996719,d5b7f1922e27ff51dda7aa12e0d9a7e14b5391b2d071b8ec876c432f7cfb9ce5,251173,
37018,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,25/01/2023,24/02/2023,25/01/2023,2374750,406176,ER No,9793,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7249306,R1-JE9010B,2,Kgs,5.44,,CARAT,AAQFN4016M,PD-0579,12552494326,24952,NORMAL,1215,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1030,0,0,12059998.04,CUT AND POLISHED DIAMOND,122.950000 CARAT,185.4,-0.4,1030,1040201014,92.7,92.7,0,996719,cdd089331c907fac7bfc23d32d7a334c0a83d5f7b74ebe65930f66825d3746ab,259269,
37160,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,10/11/2022,10/12/2022,02/11/2022,1818894,368426,IR No,285062,M5112,,"CC2150,""BANDRA KURLA COMPLEX, BANDRA EAST"",,Mumbai-400051 Maharashtra India",,3125240,R1-C04516,1,Kgs,0.6,,CARAT,AAQFN4016M,PD-0579,17654765675,34050447569,NORMAL,1888,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,500,0,290240,"LAB. GROWN CPD , LAB. GROWN CPD","3.040000 CARAT , 3.040000 CARAT",198,0,1600,1040201014,144,144,0,996719,b22089bb70e88f98c1f58bbcaa0e3f3392e531824ac2d8159148673b82c48278,257499,
37237,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,24/02/2023,26/03/2023,24/02/2023,2619198,423178,ER No,12256,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8023658,R1-JE9010B,1,Kgs,0.38,,CARAT,AAQFN4016M,PD-0579,17656687083,99013731827,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,724999.28,CUT AND POLISHED DIAMOND,4.060000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,ac358291f6461cbff9b7e0115414d1f72d19de756715c46dd0507a69042265c4,260020,
37239,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,11/05/2022,10/06/2022,11/05/2022,907678,271336,ER No,4809,M5112,,"NA,BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,1310313,R1-C04516,3,Kgs,6.59,,CARAT,AAQFN4016M,PD-0579,07451147902,1480,NORMAL,1628,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1380,0,0,12011007.01,CUT AND POLISHED DIAMOND,147.640000 CARAT,248.4,-0.4,1380,1040201014,124.2,124.2,0,996719,3057500cb2f3ec640c4d6b35d355aa40e1f925a285bd556321c4973bb26d093c,253065,
37354,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,22/07/2022,21/08/2022,22/07/2022,1118894,311587,ER No,10705,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2989569,R1-C04516,4,Kgs,9.42,,CARAT,AAQFN4016M,PD-0579,72424707756,99013687797,NORMAL,2006,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1700,0,0,19527004.73,CUT AND POLISHED DIAMOND,216.580000 CARAT,306,0,1700,1040201014,153,153,0,996719,f772669c8af5b4b6d36905ed95baeebc1a2d3da22e4d93c74efa3db380d2dde7,254240,
38146,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,25/10/2022,24/11/2022,25/10/2022,1758782,364408,ER No,13318,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5045357,R1-C04516,5,Kgs,10.47,,CARAT,AAQFN4016M,PD-0579,72426296863,99013709177,NORMAL,1676,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1420,0,0,12940992.6,CUT AND POLISHED DIAMOND,238.770000 CARAT,255.6,0.4,1420,1040201014,127.8,127.8,0,996719,374fc5dca7e6b0fb341fbcbc4545ab2320d2bbee515f522fd5ebffd20e4c74c4,256807,
38150,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,06/02/2023,08/03/2023,06/02/2023,2487678,412246,ER No,2654,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7563017,R1-JE9010B,1,Kgs,1.5,,CARAT,AAQFN4016M,PD-0579,02343648953,7904,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,2285488.31,CUT AND POLISHED DIAMOND,27.900000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,487796ac5af2c85fcfbff5c3b7e11711b501eb4a8abc997951d95e9ed5c61fe4,259834,
38370,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,01/12/2022,31/12/2022,01/12/2022,1965502,380525,ER No,500,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5856494,R1-JE9010B,1,Kgs,0.88,,CARAT,AAQFN4016M,PD-0579,02342705132,IPS/K006006,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,155342.68,LAB. GROWN CPD,6.320000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,4eac109b20ce4f44f986c324beb949c8a1236452592f847ad6b7f1c89bb7bcd8,258038,
38413,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,24/09/2022,24/10/2022,24/09/2022,1486206,346166,ER No,12334,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,4397441,R1-C04516,1,Kgs,1.63,,CARAT,AAQFN4016M,PD-0579,02341923184,IPS/K003886,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,1475480.93,LAB. GROWN CPD,15.250000 CARAT,198,0,1100,1040201014,99,99,0,996719,45d6ac2fbd4fea4bcf37da9eb611bb0a82fdf26becf28e6b053df92eda9aaacd,256015,
38631,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,11/11/2022,11/12/2022,11/11/2022,1820910,369659,ER No,4148,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5392752,R1-C04516,1,Kgs,0.78,,CARAT,AAQFN4016M,PD-0579,02342533875,IPS/K005309,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,190292.46,CUT AND POLISHED DIAMOND,3.720000 CARAT,198,0,1100,1040201014,99,99,0,996719,b9f9465e6c1b8f76e864cb4f84bae1cb20b9391dad598c7a2f3eb6493c5dbd1c,257499,
38729,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,08/07/2022,07/08/2022,08/07/2022,1098702,303264,ER No,3405,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2669638,R1-C04516,1,Kgs,0.77,,CARAT,AAQFN4016M,PD-0579,51405796781,IPS/K002264,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,123494.59,CUT AND POLISHED DIAMOND,1.180000 CARAT,198,0,1100,1040201014,99,99,0,996719,34bba04cb0ac67fce319b3026e051b3bd71dc3aaabd0d2970e831caf07f4d81b,253941,
39079,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,21/11/2022,21/12/2022,21/11/2022,1884078,374951,ER No,8568,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5599983,R1-JE9010B,1,Kgs,0.8,,CARAT,AAQFN4016M,PD-0579,02342705924,IPS/K005649,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,324366.68,LAB. GROWN CPD,13.810000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,0b960b74991bd8cfff0773616a124f6adb392be2132a4aa54ee5025beac6fd5d,257499,
39125,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,17/02/2023,19/03/2023,17/02/2023,2568942,418904,ER No,8497,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7846132,R1-JE9010B,1,Kgs,0.37,,CARAT,AAQFN4016M,PD-0579,17656687002,0039,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,667000.16,CUT AND POLISHED DIAMOND,3.520000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,4bfa66a22f089697aa09c687586ebf37ff692363d9af112e6f998693be49e659,259834,
39477,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,13/02/2023,15/03/2023,13/02/2023,2536478,415375,ER No,5162,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7685219,R1-JE9010B,1,Kgs,2.27,,CARAT,AAQFN4016M,PD-0579,02343978292,IPS/K008053,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,2877351.01,CUT AND POLISHED DIAMOND,38.080000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,67c1daa91df9bebb1606a1304c6ab5dd5155ab01c473a8fb9226f2edca5c17fc,259834,
39508,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,13/02/2023,15/03/2023,13/02/2023,2537438,415587,IR No,291431,M5112,,",OFF ESKAR ROAD, NEAR AQUARIA CLUB,C/1304, NEW GAGANGIR BLDG, DEVIDAS ROAD,BORIVALI-400092 Maharashtra India",,4544354,R1-JE9010B,1,Kgs,0.4,,CARAT,AAQFN4016M,PD-0579,12553232841,7885626,RE-IMPORT,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,786071,LAB. GROWN CPD,13.640000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,e1deef367ac0850563e0fccf8844ea1d54bfb0b280e61cd24a566581ac0cdee8,259834,
39578,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,02/07/2022,01/08/2022,02/07/2022,1060878,300110,ER No,614,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2530774,R1-C04516,1,Kgs,0.58,,CARAT,AAQFN4016M,PD-0579,16045536271,99013683073,NORMAL,1298,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1100,0,0,646000.04,CUT AND POLISHED DIAMOND,10.420000 CARAT,198,0,1100,1040201014,99,99,0,996719,bcb2f8fa0c7d5e9d2777551991c37894654bb21b2aa282ec350364d5cf771c18,253941,
39739,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,24/01/2023,23/02/2023,24/01/2023,2365998,405610,ER No,9246,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7214811,R1-JE9010B,1,Kgs,3,,CARAT,AAQFN4016M,PD-0579,16049534295,99013724726,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,2952998.54,CUT AND POLISHED DIAMOND,66.240000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,bad724002ed2ac9fb75d2b2b2ef10b6ed710c90c07cc3f6a032149d5564ffd40,259269,
39814,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,24/06/2022,24/07/2022,24/06/2022,1013598,295919,ER No,11639,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2349858,R1-C04516,2,Kgs,4.44,,CARAT,AAQFN4016M,PD-0579,72424697772,1537,NORMAL,1392,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1180,0,0,7492000.87,CUT AND POLISHED DIAMOND,91.150000 CARAT,212.4,-0.4,1180,1040201014,106.2,106.2,0,996719,851112aa845b04d24fad139c816a54046aef739e8b178a72e7b00939be184c57,253652,
39838,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,17/11/2022,17/12/2022,17/11/2022,1850558,372892,ER No,6940,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,5519223,R1-C04516,2,Kgs,3.43,,CARAT,AAQFN4016M,PD-0579,02342705891,IPS/K005507,NORMAL,1345,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1140,0,0,3079264.14,CUT AND POLISHED DIAMOND,33.260000 CARAT,205.2,-0.2,1140,1040201014,102.6,102.6,0,996719,319fd1b98c4206d18473ca7b69e25417f4beed7e72e39c8aef473d493a5a2147,257499,
39992,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,13/03/2023,12/04/2023,13/03/2023,2674190,431705,ER No,4938,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,8426511,R1-JE9010B,1,Kgs,0.89,,CARAT,AAQFN4016M,PD-0579,16052846360,5144,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,568999.62,LAB. GROWN CPD,14.920000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,7fb676e2baeb5733e4592f8bf5882b9db79474369ef44ac4334983d0b5339a20,250421,
40113,C04516,NIVODA LLP.,Import,PD - Account,Custodian-PD,14/02/2023,16/03/2023,14/02/2023,2547358,416929,IR No,291595,M5112,,"CC6055,BHARAT DIAMOND BOURSE , 6TH FLOOR BANDRA KURLA COMPLEX Cont , BANDRA EAST,,MUMBAI-400051 Maharashtra India",,4577966,R1-JE9010B,1,Kgs,0.4,,CARAT,AAQFN4016M,PD-0579,17656828376,34050453533,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,277316,LAB. GROWN CPD,3.830000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,11710535c41507bfefbddc00ad56117a35c4deb607c1d450752199308c94deb3,259834,
40265,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,13/02/2023,15/03/2023,13/02/2023,2538206,416342,ER No,6330,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7692118,R1-JE9010B,1,Kgs,0.65,,CARAT,AAQFN4016M,PD-0579,72426693155,28594,NORMAL,885,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,750,0,0,166488.74,LAB. GROWN CPD,7.330000 CARAT,135,0,750,1040201014,67.5,67.5,0,996719,67e6e79b63a026f4478a8c0efbfc2b6f46a585a9f013f181b0b9e1dde3c4c17e,259834,
40300,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,21/01/2023,20/02/2023,21/01/2023,2339006,404547,ER No,8418,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7120938,R1-JE9010B,1,Kgs,2.91,,CARAT,AAQFN4016M,PD-0579,17657590982,4263,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,2649000.33,LAB. GROWN CPD,75.600000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,7918ccc7b2070886cac18ecadcfe6a3f2ea85eeaec1fa98942c769f43c711238,259269,
40372,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,20/06/2022,20/07/2022,20/06/2022,1002014,292769,ER No,8690,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2236279,R1-C04516,3,Kgs,7.44,,CARAT,AAQFN4016M,PD-0579,07451875961,99013680260,NORMAL,1770,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1500,0,0,14774998,CUT AND POLISHED DIAMOND,188.900000 CARAT,270,0,1500,1040201014,135,135,0,996719,69e5bffa303260b95f46ca67a9d52826c649bb8ef3e03e1e642ca0ca1da6cc99,253064,
40475,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,30/01/2023,01/03/2023,30/01/2023,2421310,408394,ER No,11830,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7361414,R1-JE9010B,5,Kgs,14.93,,CARAT,AAQFN4016M,PD-0579,12552494330,5695,NORMAL,2159,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1830,0,0,32024018.42,CUT AND POLISHED DIAMOND,394.240000 CARAT,329.4,-0.4,1830,1040201014,164.7,164.7,0,996719,947578bac2bb94a9285e090a1ede3215ac9ef4120543f355792d0203acd53daa,258988,
40562,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,13/07/2022,12/08/2022,13/07/2022,1102915,305850,ER No,5910,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,2782265,R1-C04516,4,Kgs,9.18,,CARAT,AAQFN4016M,PD-0579,12596657934,5613,NORMAL,1723,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,1460,0,0,14183005.41,CUT AND POLISHED DIAMOND,168.290000 CARAT,262.8,0.2,1460,1040201014,131.4,131.4,0,996719,fbaf518ecb176771748f1afb9e46e36a81fd9d0dd09c2c9bd402215f5543c3a2,254186,
40575,C04516,NIVODA LLP.,Export,PD - Account,Custodian-PD,17/01/2023,16/02/2023,17/01/2023,2304003,402575,ER No,6679,M5112,,",BANDRA KURLA COMPLEX BANDRA EAST,BHARAT DIAMOND BOURSE,MUMBAI-400051 Maharashtra India",,7018019,R1-JE9010B,1,Kgs,2.07,,CARAT,AAQFN4016M,PD-0579,02343304004,IPS/K007269,NORMAL,932,INR,C04516,NIVODA LLP.,429,B.V. CHINAI AND CO. (INDIA) PVT. LTD.,C04651,Service Charges,790,0,0,3650366.59,CUT AND POLISHED DIAMOND,35.820000 CARAT,142.2,-0.2,790,1040201014,71.1,71.1,0,996719,249b48412457472c6300b9fefc8db22bc6d5b17e03119fe5317bc1a974628ae0,259269,
